sample_index,player_url,expected_afltables_identity,child_status,base_outcome,population_outcome,population_reason,corrected_identity,recommended_disposition,visible_name,title_birth_year,retained_birth_year,retained_debut_season,retained_last_season,retained_career_games,draftguru_games,earliest_recruitment_year,earliest_recruitment_event_type,ledger_status,reason_codes,operator_verdict
1075,https://www.draftguru.com.au/players/donald_dickie/1,players/D/Donald_Dickie.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Donald Dickie,1972,1972,1997,2000,55,55,1996,Pre-Draft,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1076,https://www.draftguru.com.au/players/doug_bailey/1,players/D/Doug_Bailey.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Doug Bailey,1971,1972,1994,1995,11,11,1993,Pre-Season,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1077,https://www.draftguru.com.au/players/doug_hawkins/1,players/D/Doug_Hawkins.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Doug Hawkins,1960,1960,1978,1995,350,21,1994,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_BEFORE_EARLIEST_RECRUITMENT;SPAN_CONTAINS_EARLIEST_RECRUITMENT_YEAR;GAMES_INCONSISTENT;CLUB_HISTORY_OVERLAPS,
1078,https://www.draftguru.com.au/players/dougal_howard/1,players/D/Dougal_Howard.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dougal Howard,1996,1996,2016,2025,138,145,2014,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1079,https://www.draftguru.com.au/players/doulton_langlands/1,players/D/Doulton_Langlands.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Doulton Langlands,1999,1999,2019,2019,3,3,2017,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1080,https://www.draftguru.com.au/players/drew_banfield/1,players/D/Drew_Banfield.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Drew Banfield,1974,1974,1993,2006,265,265,1992,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1081,https://www.draftguru.com.au/players/drew_petrie/1,players/D/Drew_Petrie.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Drew Petrie,1982,1983,2001,2017,332,332,2000,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1082,https://www.draftguru.com.au/players/dustin_fletcher/1,players/D/Dustin_Fletcher.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dustin Fletcher,1975,1975,1993,2015,400,400,1992,Pre-Draft,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1083,https://www.draftguru.com.au/players/dustin_martin/1,players/D/Dustin_Martin.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dustin Martin,1991,1991,2010,2024,302,302,2009,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1084,https://www.draftguru.com.au/players/dwayne_griffin/1,players/D/Dwayne_Griffin.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dwayne Griffin,1977,1976,1997,1997,1,1,1996,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
