player_id,display_name,afltables_profile_url
1281,Matthew Campbell,
1286,David Cloke,players/D/David_Cloke.html
1292,Darren Millane,players/D/Darren_Millane.html
1300,Brad Hardie,players/B/Brad_Hardie.html
1301,Alan Ezard,players/A/Alan_Ezard.html
1302,Simon Madden,players/S/Simon_Madden.html
1303,Matthew Larkin,players/M/Matthew_Larkin.html
1308,Mark Mickan,players/M/Mark_Mickan.html
1311,Terry Daniher,players/T/Terry_Daniher.html
1313,Bernard Toohey,players/B/Bernard_Toohey.html
1316,Grantley Fielke,players/G/Grantley_Fielke.html
1319,Michael Tuck,players/M/Michael_Tuck.html
1325,Andrew Rogers,players/A/Andrew_Rogers.html
1326,Chris Mew,players/C/Chris_Mew.html
1328,Michael Mitchell,players/M/Michael_Mitchell.html
1329,Paul Meldrum,players/P/Paul_Meldrum.html
1334,Mark Naley,players/M/Mark_Naley.html
1335,Paul Vander Haar,players/P/Paul_Vander_Haar.html
1337,Alan Johnson,players/A/Alan_Johnson.html
1341,David Murphy,players/D/David_Murphy.html
1342,Mark Withers,players/M/Mark_Withers.html
1347,Matthew Rendell,players/M/Matthew_Rendell.html
1350,Robert DiPierdomenico,players/R/Robert_DiPierdomenico.html
1351,John Kennedy,players/J/John_Kennedy1.html
1354,Michael Richardson,players/M/Michael_Richardson.html
1355,Glenn Hawker,players/G/Glenn_Hawker.html
1357,Scott Clayton,
1361,Steven ODwyer,players/S/Steven_ODwyer.html
1362,Brian Wilson,players/B/Brian_Wilson0.html
1363,Mark Lee,players/M/Mark_Lee.html
1366,Gerard Healy,players/G/Gerard_Healy.html
1368,Stephen Wright,players/S/Stephen_Wright.html
1370,Stephen Malaxos,players/S/Stephen_Malaxos.html
1371,Terry Wallace,players/T/Terry_Wallace.html
1376,Tony Antrobus,players/T/Tony_Antrobus.html
1379,Brenton Phillips,players/B/Brenton_Phillips.html
1382,Murray Wrensted,players/M/Murray_Wrensted.html
1384,Zeno Tzatzaris,players/Z/Zeno_Tzatzaris.html
1387,Gary Buckenara,players/G/Gary_Buckenara.html
1389,Jim Krakouer,players/J/Jim_Krakouer.html
1390,John Law,players/J/John_Law.html
1391,Geoff Cunningham,players/G/Geoff_Cunningham.html
1392,Kevin Walsh,players/K/Kevin_Walsh.html
1394,Danny Hughes,players/D/Danny_Hughes0.html
1398,Rod Lester-Smith,players/R/Rod_Lester-Smith.html
1400,Wayne Blackwell,players/W/Wayne_Blackwell.html
1403,Brian Taylor,players/B/Brian_Taylor.html
1405,Bill Duckworth,players/B/Bill_Duckworth0.html
1408,Greg Healy,players/G/Greg_Healy.html
1410,Bradley Gotch,players/B/Bradley_Gotch.html
1414,Laurie Keene,players/L/Laurie_Keene.html
1418,Jarrad Waite,players/J/Jarrad_Waite.html
1421,Aaron Sandilands,players/A/Aaron_Sandilands.html
1422,Byron Schammer,players/B/Byron_Schammer.html
1425,Mark Jamar,players/M/Mark_Jamar.html
1426,Jeremy Clayton,players/J/Jeremy_Clayton.html
1427,Daniel Wells,players/D/Daniel_Wells.html
1430,Luke Ball,players/L/Luke_Ball.html
1432,Adam Schneider,players/A/Adam_Schneider.html
1433,Brad Fisher,players/B/Brad_Fisher.html
1438,Jared Brennan,players/J/Jared_Brennan.html
1443,Brendon Goddard,players/B/Brendon_Goddard.html
1446,Paul Johnson,players/P/Paul_Johnson0.html
1450,Matthew Boyd,players/M/Matthew_Boyd.html
1451,Jay Schulz,players/J/Jay_Schulz.html
1453,Lewis Roberts-Thomson,players/L/Lewis_Roberts-Thomson.html
1454,Karl Norman,players/K/Karl_Norman.html
1456,Kade Simpson,players/K/Kade_Simpson.html
1457,Michael Firrito,players/M/Michael_Firrito.html
1460,Dane Swan,players/D/Dane_Swan.html
1461,Jobe Watson,players/J/Jobe_Watson.html
1465,Brent Moloney,players/B/Brent_Moloney.html
1466,Haydn Bunton,players/H/Haydn_Bunton.html
1467,Allan Hopkins,players/A/Allan_Hopkins.html
1468,Reg Hickey,players/R/Reg_Hickey.html
1469,John Lewis,players/J/John_Lewis0.html
1470,Ivan McAlpine,players/I/Ivan_McAlpine.html
1478,David Ackerly,players/D/David_Ackerly.html
1480,Ron Alexander,players/R/Ron_Alexander.html
1483,Stephen Allender,players/S/Stephen_Allender.html
1485,Stan Alves,players/S/Stan_Alves.html
1487,Ron Andrews,players/R/Ron_Andrews.html
1492,Rodney Ashman,players/R/Rodney_Ashman.html
1493,Alan Atkinson,players/A/Alan_Atkinson.html
1498,Allen Aylett,players/A/Allen_Aylett.html
1500,Edward Baker,players/E/Edward_Baker.html
1502,Phil Baker,players/P/Phil_Baker.html
1503,Leon Baker,players/L/Leon_Baker.html
1506,Les Bamblett,players/L/Les_Bamblett.html
1507,Denis Banks,players/D/Denis_Banks.html
1509,Kevin Bartlett,players/K/Kevin_Bartlett.html
1510,Ricky Barham,players/R/Ricky_Barham.html
1511,Trevor Barker,players/T/Trevor_Barker.html
1515,Adrian Battiston,players/A/Adrian_Battiston.html
1516,Percy Beames,players/P/Percy_Beames.html
1519,Peter Bedford,players/P/Peter_Bedford.html
1531,Jack Bisset,players/J/Jack_Bisset.html
1533,Rod Blake,players/R/Rod_Blake.html
1534,Malcolm Blight,players/M/Malcolm_Blight.html
1537,Mark Bos,players/M/Mark_Bos.html
1538,Peter Bosustow,players/P/Peter_Bosustow.html
1539,Francis Bourke,players/F/Francis_Bourke.html
1544,John Brady,players/J/John_Brady.html
1545,Ron Branton,players/R/Ron_Branton.html
1548,Barry Breen,players/B/Barry_Breen.html
1556,Bob Brooker,players/B/Bob_Brooker.html
1557,Mark Browning,players/M/Mark_Browning.html
1564,Jim Buckley,players/J/Jim_Buckley.html
1570,Greg Burns,players/G/Greg_Burns.html
1577,Charlie Cameron,players/C/Charlie_Cameron2.html
1578,Warwick Capper,players/W/Warwick_Capper.html
1587,Wayne Carroll,players/W/Wayne_Carroll.html
1588,Ray Card,players/R/Ray_Card.html
1601,Jack Clarke,players/J/Jack_Clarke.html
1605,Ron Clegg,players/R/Ron_Clegg.html
1612,Harry Collier,players/H/Harry_Collier.html
1614,John Coleman,players/J/John_Coleman.html
