source_key,season,position,player,club,is_captain,is_vice_captain
22under22:2025:hb:1,2025,HB,Jaspa Fletcher,Brisbane Lions,0,0
22under22:2025:hb:2,2025,HB,Josh Weddle,Hawthorn,0,0
22under22:2025:hb:3,2025,HB,Nasiah Wanganeen-Milera,St Kilda,0,1
22under22:2025:c:1,2025,C,Harry Sheezel,North Melbourne,0,0
22under22:2025:c:2,2025,C,Harley Reid,West Coast,0,0
22under22:2025:c:3,2025,C,Finn Callaghan,Greater Western Sydney,0,0
22under22:2025:hf:1,2025,HF,Josh Rachele,Adelaide,0,0
22under22:2025:hf:2,2025,HF,Logan Morris,Brisbane Lions,0,0
22under22:2025:hf:3,2025,HF,Jason Horne-Francis,Port Adelaide,0,0
22under22:2025:f:1,2025,F,Murphy Reid,Fremantle,0,0
22under22:2025:f:2,2025,F,Aaron Cadman,Greater Western Sydney,0,0
22under22:2025:f:3,2025,F,Nate Caddy,Essendon,0,0
22under22:2025:r:1,2025,R,Sam Darcy,Western Bulldogs,0,0
22under22:2025:r:2,2025,R,Will Ashcroft,Brisbane Lions,0,0
22under22:2025:r:3,2025,R,Nick Daicos,Collingwood,1,0
22under22:2025:ic:1,2025,I/C,Oliver Dempsey,Geelong,0,0
22under22:2025:ic:2,2025,I/C,Levi Ashcroft,Brisbane Lions,0,0
22under22:2025:ic:3,2025,I/C,Dan Curtin,Adelaide,0,0
22under22:2025:ic:4,2025,I/C,Nick Watson,Hawthorn,0,0
22under22:2026:b:1,2026,B,Josh Weddle,Hawthorn,0,0
22under22:2026:b:2,2026,B,Harry Dean,Carlton,0,0
22under22:2026:b:3,2026,B,Darcy Wilmot,Brisbane Lions,0,0
22under22:2026:hb:1,2026,HB,Connor O'Sullivan,Geelong,0,0
22under22:2026:hb:2,2026,HB,Reuben Ginbey,West Coast,0,0
22under22:2026:hb:3,2026,HB,Jaspa Fletcher,Brisbane Lions,0,0
22under22:2026:c:1,2026,C,Murphy Reid,Fremantle,0,0
22under22:2026:c:2,2026,C,Will Ashcroft,Brisbane Lions,0,1
22under22:2026:c:3,2026,C,Jagga Smith,Carlton,0,0
22under22:2026:hf:1,2026,HF,Darcy Wilson,St Kilda,0,0
22under22:2026:hf:2,2026,HF,Aaron Cadman,Greater Western Sydney,0,0
22under22:2026:hf:3,2026,HF,Colby McKercher,North Melbourne,0,0
22under22:2026:f:1,2026,F,Nick Watson,Hawthorn,0,0
22under22:2026:f:2,2026,F,Logan Morris,Brisbane Lions,0,0
22under22:2026:f:3,2026,F,Nate Caddy,Essendon,0,0
22under22:2026:r:1,2026,R,Cooper Trembath,North Melbourne,0,0
22under22:2026:r:2,2026,R,Harry Sheezel,North Melbourne,1,0
22under22:2026:r:3,2026,R,Harley Reid,West Coast,0,0
22under22:2026:ic:1,2026,I/C,Mac Andrew,Gold Coast,0,0
22under22:2026:ic:2,2026,I/C,Willem Duursma,West Coast,0,0
22under22:2026:ic:3,2026,I/C,Archie Roberts,Essendon,0,0
22under22:2026:ic:4,2026,I/C,Ryley Sanders,Western Bulldogs,0,0
